  Mass,   Radius,      Age, Class  ,   FeH,           Lum, AbsMagn,     Teff, CoreTemp, CoreDensity,     Mdot, WindSpeed, Phase,    SurfZ,  SurfNuc,  SurfVol,        Magnetic,  Lifetime,     Spin,  MinCoilMass
  2.22,      nan, 4.65E+06, X      ,  0.03,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 5.24E-01,     0.00E+00
  2.09,     0.00, 7.23E+07, Q      , -0.04,        0.0000,   24.09,  17651.5, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN,  64206535.07532, 1.80E+308, 2.18E-01,     0.00E+00
  2.24,      nan, 8.04E+06, X      , -0.04,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 4.16E-01,     0.00E+00
  2.55,      nan, 6.96E+06, X      ,  0.07,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 1.72E-01,     0.00E+00
  1.97,     0.00, 1.18E+07, Q      ,  0.24,        0.0000,   20.11,  43831.4, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN,  51570315.83699, 1.80E+308, 3.64E-02,     0.00E+00
  2.17,     0.00, 6.33E+06, Q      ,  0.21,        0.0000,   18.88,  60013.0, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 292328070.63282, 1.80E+308, 2.00E-02,     0.00E+00
  2.33,      nan, 5.07E+06, X      ,  0.02,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 8.27E-02,     0.00E+00
  1.63,     0.00, 6.10E+07, Q      ,  0.20,        0.0000,   23.66,  19222.1, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 192238895.95477, 1.80E+308, 1.84E-01,     0.00E+00
  2.72,      nan, 9.08E+06, X      ,  0.13,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 6.52E-01,     0.00E+00
  2.04,     0.00, 8.24E+06, Q      , -0.01,        0.0000,   19.34,  52509.5, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 449089945.46895, 1.80E+308, 2.57E-02,     0.00E+00
  2.25,      nan, 1.76E+06, X      , -0.24,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 9.77E-01,     0.00E+00
  1.90,     0.00, 1.54E+07, Q      , -0.07,        0.0000,   20.69,  38281.9, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 237656567.89571, 1.80E+308, 4.73E-02,     0.00E+00
  1.43,     0.00, 5.84E+06, Q      , -0.05,        0.0000,   18.53,  62475.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 2006528034.25367, 1.80E+308, 1.85E-02,     0.00E+00
  2.75,      nan, 1.97E+06, X      ,  0.14,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 5.47E-01,     0.00E+00
  1.93,     0.00, 2.43E+06, Q      , -0.07,        0.0000,   16.62,  97778.5, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 6373626575.93405, 1.80E+308, 8.29E-03,     0.00E+00
  2.49,      nan, 3.51E+06, X      ,  0.03,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 7.19E-01,     0.00E+00
  1.44,     0.00, 1.93E+06, Q      ,  0.08,        0.0000,   16.07, 110199.3, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 1009176323.35580, 1.80E+308, 6.79E-03,     0.00E+00
  2.62,      nan, 2.58E+07, X      ,  0.08,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 7.94E-01,     0.00E+00
  1.57,     0.00, 1.44E+07, Q      ,  0.10,        0.0000,   20.51,  39681.4, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 654674402.29227, 1.80E+308, 4.41E-02,     0.00E+00
  2.50,      nan, 4.54E+07, X      ,  0.06,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 1.19E-01,     0.00E+00
  2.70,      nan, 1.84E+06, X      , -0.12,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 4.37E-01,     0.00E+00
  2.67,      nan, 1.53E+07, X      ,  0.17,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 7.34E-01,     0.00E+00
  2.68,      nan, 1.31E+06, X      ,  0.25,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 5.72E-01,     0.00E+00
  1.47,     0.00, 2.72E+06, Q      ,  0.13,        0.0000,   16.84,  92328.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 5138591658.43689, 1.80E+308, 9.15E-03,     0.00E+00
  2.38,      nan, 3.42E+07, X      ,  0.14,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 4.97E-01,     0.00E+00
  2.34,      nan, 7.09E+07, X      ,  0.27,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 5.73E-01,     0.00E+00
  1.92,     0.00, 1.03E+07, Q      ,  0.37,        0.0000,   19.81,  46936.6, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 820301980.60057, 1.80E+308, 3.19E-02,     0.00E+00
  1.72,     0.00, 5.00E+06, Q      , -0.13,        0.0000,   18.21,  67643.3, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 3186812829.77447, 1.80E+308, 1.60E-02,     0.00E+00
  2.57,      nan, 5.38E+07, X      , -0.08,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 2.94E-01,     0.00E+00
  2.27,      nan, 1.32E+06, X      ,  0.20,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 4.00E-01,     0.00E+00
  2.00,     0.00, 1.42E+06, Q      ,  0.00,        0.0001,   15.41, 129484.4, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 9084630532.26181, 1.80E+308, 5.26E-03,     0.00E+00
  2.12,     0.00, 9.12E+06, Q      ,  0.27,        0.0000,   19.60,  49886.1, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 848637041.18701, 1.80E+308, 2.84E-02,     0.00E+00
  1.91,     0.00, 2.78E+07, Q      , -0.03,        0.0000,   21.98,  28490.7, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 418880290.82795, 1.80E+308, 8.44E-02,     0.00E+00
  2.38,      nan, 3.33E+07, X      , -0.01,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 7.53E-01,     0.00E+00
  1.95,     0.00, 2.27E+06, Q      ,  0.09,        0.0000,   16.47, 101228.5, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 3471565896.99157, 1.80E+308, 7.82E-03,     0.00E+00
  1.64,     0.00, 5.93E+06, Q      ,  0.42,        0.0000,   18.58,  61984.6, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 1608284637.85241, 1.80E+308, 1.88E-02,     0.00E+00
  2.21,      nan, 5.48E+07, X      , -0.16,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 3.99E-01,     0.00E+00
  2.17,     0.00, 7.29E+06, Q      ,  0.00,        0.0000,   19.20,  55840.6, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 1525708695.67791, 1.80E+308, 2.29E-02,     0.00E+00
  1.82,     0.00, 5.89E+06, Q      ,  0.01,        0.0000,   18.58,  62243.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 2625697093.03155, 1.80E+308, 1.87E-02,     0.00E+00
  1.92,     0.00, 7.75E+07, Q      , -0.25,        0.0000,   24.21,  17046.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN,  11050104.09154, 1.80E+308, 2.34E-01,     0.00E+00
  1.51,     0.00, 2.62E+06, Q      ,  0.11,        0.0000,   16.76,  93998.6, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 5292489862.49535, 1.80E+308, 8.87E-03,     0.00E+00
  2.27,      nan, 1.11E+06, X      ,  0.07,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 7.67E-02,     0.00E+00
  2.43,      nan, 6.21E+07, X      ,  0.07,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 3.27E-01,     0.00E+00
  2.45,      nan, 3.19E+06, X      ,  0.07,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 9.19E-01,     0.00E+00
  1.80,     0.00, 3.49E+07, Q      ,  0.05,        0.0000,   22.46,  25414.8, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 193689444.25964, 1.80E+308, 1.06E-01,     0.00E+00
  1.53,     0.00, 1.19E+06, Q      ,  0.03,        0.0001,   14.96, 142511.5, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 1187959742.20511, 1.80E+308, 4.56E-03,     0.00E+00
  2.19,      nan, 1.64E+06, X      , -0.06,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 5.09E-01,     0.00E+00
  2.40,      nan, 6.10E+06, X      ,  0.21,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 3.24E-01,     0.00E+00
  2.00,     0.00, 7.54E+07, Q      ,  0.30,        0.0000,   24.15,  17288.7, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN,  86195926.15233, 1.80E+308, 2.27E-01,     0.00E+00
  1.71,     0.00, 1.08E+06, Q      , -0.18,        0.0001,   14.75, 149859.3, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 1867221565.67491, 1.80E+308, 4.24E-03,     0.00E+00
  2.31,      nan, 2.10E+06, X      ,  0.04,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 1.27E-01,     0.00E+00
