star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
2.25801342e+04,5.39999677,-4.98488459e-11,2.39860365,3.64928063,1.42341772,-1.34523774,1.31212368e-04,6.20813073,-2.54453647,-1
2.35724663e+04,5.39999672,-4.80222907e-11,2.38887450,3.65012948,1.41685545,-1.34525345,1.30451781e-04,6.21441450,-2.52447734,-1
2.46092116e+04,5.39999667,-4.62748503e-11,2.37932965,3.65099345,1.41035507,-1.34524798,1.29685898e-04,6.22058984,-2.50453981,-1
2.56911163e+04,5.39999662,-4.46060479e-11,2.36978537,3.65182212,1.40392560,-1.34530611,1.28877331e-04,6.22661240,-2.48465977,-1
2.68218581e+04,5.39999657,-4.30207076e-11,2.36045689,3.65266726,1.39757107,-1.34534757,1.28091367e-04,6.23242846,-2.46476230,-1
2.80028911e+04,5.39999652,-4.15031938e-11,2.35118106,3.65348549,1.39129671,-1.34537228,1.27274504e-04,6.23800455,-2.44473979,-1
2.92347208e+04,5.39999647,-4.00565833e-11,2.34186778,3.65425379,1.38510347,-1.34539165,1.26442948e-04,6.24333224,-2.42450670,-1
3.05237046e+04,5.39999642,-3.86791596e-11,2.33286966,3.65506204,1.37898791,-1.34542704,1.25625017e-04,6.24836773,-2.40404777,-1
3.18678002e+04,5.39999637,-3.73644192e-11,2.32392059,3.65584590,1.37294565,-1.34544924,1.24808675e-04,6.25322309,-2.38324527,-1
3.32731329e+04,5.39999632,-3.61138905e-11,2.31514356,3.65663723,1.36697447,-1.34546418,1.24012072e-04,6.25799250,-2.36205553,-1
3.47386543e+04,5.39999627,-3.49110024e-11,2.30632497,3.65738464,1.36107037,-1.34547907,1.23182958e-04,6.26271544,-2.34052096,-1
3.62708184e+04,5.39999622,-3.37530489e-11,2.29771431,3.65815157,1.35523116,-1.34548691,1.22334371e-04,6.26743501,-2.31869077,-1
3.78697014e+04,5.39999617,-3.26663162e-11,2.28938915,3.65896415,1.34944343,-1.34548349,1.21590878e-04,6.27219976,-2.29660258,-1
